time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450209637	6.10943	-12.8646	-2.6433	-0.607468	-1.06167	lidar	2.07125	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988
1477010450259674	5.98585	-12.7509	-2.73277	-0.697341	-1.12075	radar	6.96562	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851
1477010450309711	5.83084	-12.6882	-2.78053	-0.718367	-1.08166	lidar	2.02208	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852
1477010450364717	5.72456	-12.6227	-2.69313	-0.739191	-1.02067	radar	8.19759	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995
1477010450419723	5.57	-12.5567	-2.72513	-0.754765	-0.978045	lidar	1.60984	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995
1477010450474743	5.45376	-12.4404	-2.76215	-0.816243	-0.991975	radar	1.04488	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753
1477010450529764	5.29167	-12.3689	-2.7979	-0.820769	-0.939915	lidar	2.21407	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175
1477010450584712	5.18595	-12.2735	-2.76848	-0.854951	-0.916133	radar	1.06573	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989
1477010450639660	5.04399	-12.1852	-2.79134	-0.868871	-0.878545	lidar	1.0771	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199
1477010450689678	4.94832	-12.0724	-2.80438	-0.911794	-0.877524	radar	0.460893	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929
1477010450739696	4.83184	-11.9866	-2.81416	-0.925816	-0.847328	lidar	0.721176	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928
1477010450794748	4.73771	-11.8583	-2.82886	-0.973428	-0.850448	radar	0.200254	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471
1477010450849800	4.6498	-11.7316	-2.82893	-1.01668	-0.846896	lidar	0.0116814	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247
1477010450904754	4.58563	-11.6252	-2.74153	-1.05168	-0.826791	radar	5.56725	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971
1477010450959709	4.51824	-11.5046	-2.72885	-1.09451	-0.825062	lidar	0.277117	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969
1477010451009669	4.42174	-11.3315	-2.91333	-1.14504	-0.845431	radar	25.4618	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032
1477010451059629	4.38768	-11.185	-2.90985	-1.20625	-0.864947	lidar	0.255148	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321
1477010451114691	4.37854	-11.0587	-2.78534	-1.2727	-0.885207	radar	11.3025	4.43713	-11.024	4.45	-11.05	0	1.81614
1477010451169754	4.36697	-10.9076	-2.77263	-1.34153	-0.906785	lidar	0.446419	4.45136	-10.93	4.45	-10.95	0	1.81612
1477010451224789	4.34538	-10.7597	-2.763	-1.39761	-0.913929	radar	0.145227	4.44745	-10.786	4.45	-10.8	0	2.72555
1477010451279824	4.35769	-10.6081	-2.74996	-1.47134	-0.9391	lidar	0.660407	4.45788	-10.6457	4.45	-10.65	0	2.72554
1477010451334789	4.35712	-10.4624	-2.73681	-1.52998	-0.948001	radar	0.324647	4.46329	-10.5756	4.45	-10.5	0	2.729
1477010451389755	4.3767	-10.3123	-2.73078	-1.59707	-0.963928	lidar	0.272547	4.44057	-10.3382	4.45	-10.35	0	2.72898
1477010451444763	4.40214	-10.1662	-2.71576	-1.66475	-0.982379	radar	0.385643	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687
1477010451499772	4.45291	-10.017	-2.71305	-1.74207	-1.00646	lidar	0.583111	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685
1477010451554732	4.4834	-9.87309	-2.71537	-1.79504	-1.00159	radar	0.419473	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927
1477010451609692	4.54919	-9.72833	-2.71712	-1.87039	-1.02198	lidar	0.478672	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926
1477010451664722	4.56099	-9.57532	-2.74345	-1.88538	-0.963944	radar	2.07162	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578
1477010451719753	4.64277	-9.43423	-2.74846	-1.96015	-0.985125	lidar	0.648537	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576
1477010451774708	4.71784	-9.30021	-2.74669	-2.02559	-0.997916	radar	0.464193	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952
1477010451829663	4.82468	-9.15954	-2.76764	-2.10461	-1.01964	lidar	0.910409	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951
1477010451879669	4.90655	-9.04041	-2.77265	-2.16362	-1.02969	radar	0.128272	4.95209	-8.96272	5	-9.05	0.999884	1.99977
1477010451929676	4.99783	-8.93029	-2.77494	-2.2224	-1.03644	lidar	0.123859	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974
1477010451984680	5.06752	-8.80565	-2.76935	-2.24368	-0.982746	radar	1.75235	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708
1477010452039685	5.18647	-8.68004	-2.79216	-2.30785	-0.98977	lidar	0.484539	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705
1477010452089696	5.28558	-8.57782	-2.79545	-2.35728	-0.987822	radar	0.105731	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957
1477010452139708	5.3987	-8.47271	-2.81327	-2.41045	-0.989256	lidar	0.246734	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954
1477010452194711	5.48629	-8.36214	-2.79497	-2.42413	-0.927016	radar	2.16648	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807
1477010452249714	5.59296	-8.26143	-2.78865	-2.46856	-0.921738	lidar	0.175532	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808
1477010452304738	5.66974	-8.14034	-2.76619	-2.45688	-0.827931	radar	4.46702	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608
1477010452359763	5.80108	-8.03101	-2.791	-2.50122	-0.823979	lidar	0.438984	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606
1477010452414768	5.8959	-7.91825	-2.77506	-2.50038	-0.752465	radar	2.7022	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801
1477010452469773	6.02766	-7.81268	-2.7972	-2.53767	-0.746369	lidar	0.379436	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801
1477010452524779	6.12018	-7.69895	-2.77368	-2.52397	-0.660787	radar	3.88121	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798
1477010452579785	6.24854	-7.60019	-2.78694	-2.55552	-0.655109	lidar	0.179682	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798
1477010452634722	6.35088	-7.49405	-2.76762	-2.54801	-0.585774	radar	2.63704	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027
1477010452689660	6.4743	-7.40266	-2.77081	-2.57496	-0.580725	lidar	0.106189	6.452	-7.36418	6.45	-7.35	1.82025	1.82025
1477010452739683	6.59013	-7.32018	-2.77779	-2.60046	-0.579345	radar	0.732818	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908
1477010452789706	6.71891	-7.23017	-2.80225	-2.62251	-0.571012	lidar	0.465032	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908
1477010452844772	6.79193	-7.09904	-2.74684	-2.5571	-0.418509	radar	13.372	6.68682	-6.93297	6.8	-7.05	0.908005	1.816
1477010452899838	6.91088	-7.0044	-2.74842	-2.57153	-0.410504	lidar	0.293336	6.86356	-6.94732	6.85	-6.95	0.908	1.81601
1477010452954812	7.0433	-6.92652	-2.75284	-2.5988	-0.417619	radar	0.051158	7.08741	-6.92602	7	-6.85	2.72856	1.81904
1477010453009787	7.17236	-6.83067	-2.76564	-2.61173	-0.407539	lidar	0.3588	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902
